"111379","AT 2022nvl","14:19:49.839","-00:06:43.66","","","","","ANTARES","ZTF","","ANTARES","ZTF22aaaelic","P48 - ZTF-Cam","","1","1","","18.8295","r-ZTF","2022-06-26 05:06:14.688","ANTARES_bot","","2022TNSTR1809....1A","",""
"111378","AT 2022nvk","23:27:40.173","-44:38:17.86","","","","","ATLAS","ATLAS","","ATLAS","ATLAS22sdr","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","19.617","cyan-ATLAS","2022-06-27 01:03:55.296","ATLAS_Bot1","","2022TNSTR1810....1T","",""
"111377","AT 2022nvj","18:56:25.231","-58:09:22.57","","","","","ATLAS","ATLAS","","ATLAS","ATLAS22sdq","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","19.317","cyan-ATLAS","2022-06-26 23:44:20.832","ATLAS_Bot1","","2022TNSTR1810....1T","",""
"111376","AT 2022nvi","18:41:02.900","-60:12:14.84","","","","","ATLAS","ATLAS","","ATLAS","ATLAS22sdp","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","19.442","cyan-ATLAS","2022-06-26 23:39:45.216","ATLAS_Bot1","","2022TNSTR1810....1T","",""
"111375","AT 2022nvh","18:48:30.418","-60:32:12.25","","","","","ATLAS","ATLAS","","ATLAS","ATLAS22sdo","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","18.921","cyan-ATLAS","2022-06-26 23:39:45.216","ATLAS_Bot1","","2022TNSTR1810....1T","",""
"111374","AT 2022nvg","20:21:54.180","-46:01:19.19","","","","","ATLAS","ATLAS","","ATLAS","ATLAS22sdn","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","19.493","cyan-ATLAS","2022-06-27 00:36:06.912","ATLAS_Bot1","","2022TNSTR1810....1T","",""
"111373","AT 2022nvf","16:17:42.956","-74:55:31.34","","","","","ATLAS","ATLAS","","ATLAS","ATLAS22sdm","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","19.193","cyan-ATLAS","2022-06-26 21:59:04.992","ATLAS_Bot1","","2022TNSTR1810....1T","",""
"111372","AT 2022nve","21:54:51.892","-39:56:43.17","","","","","ATLAS","ATLAS","","ATLAS","ATLAS22sdk","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","18.647","cyan-ATLAS","2022-06-27 01:31:47.136","ATLAS_Bot1","","2022TNSTR1810....1T","",""
"111371","AT 2022nvd","13:25:54.527","-39:01:36.36","","","","","ATLAS","ATLAS","","ATLAS","ATLAS22sdj","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","18.976","cyan-ATLAS","2022-06-26 19:14:13.056","ATLAS_Bot1","","2022TNSTR1810....1T","",""
"111370","AT 2022nvc","17:51:42.352","-74:47:49.50","","","","","ATLAS","ATLAS","","ATLAS","ATLAS22sdi","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","19.511","cyan-ATLAS","2022-06-26 22:37:20.640","ATLAS_Bot1","","2022TNSTR1810....1T","",""
"111369","AT 2022nvb","17:55:56.848","-73:42:12.71","","","","","ATLAS","ATLAS","","ATLAS","ATLAS22sdh","ATLAS-STH - ATLAS-03","","1","1","","18.719","cyan-ATLAS","2022-06-27 23:08:19.104","ATLAS_Bot1","","2022TNSTR1810....1T","",""
"111368","AT 2022nva","23:53:42.725","-44:06:52.48","","","","","ATLAS","ATLAS","","ATLAS","ATLAS22sdf","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","18.135","cyan-ATLAS","2022-06-27 02:56:07.584","ATLAS_Bot1","","2022TNSTR1810....1T","",""
"111367","AT 2022nuz","13:54:55.890","-38:17:11.90","","","","","ATLAS, GaiaAlerts","ATLAS, GaiaAlerts","","ATLAS; GaiaAlerts","ATLAS22scg","ATLAS-STH - ATLAS-03, Gaia - Gaia-photometric","","1","1","","19.056","cyan-ATLAS","2022-06-27 20:14:53.088","ATLAS_Bot1","","2022TNSTR1810....1T","",""
"111366","AT 2022nuy","18:16:09.046","-55:42:59.22","","","","","ATLAS","ATLAS","","ATLAS","ATLAS22scf","ATLAS-STH - ATLAS-03","","1","1","","18.185","cyan-ATLAS","2022-06-27 23:07:40.224","ATLAS_Bot1","","2022TNSTR1810....1T","",""
"111365","AT 2022nux","06:53:18.030","-47:01:34.93","","","","","ATLAS, GaiaAlerts","ATLAS, GaiaAlerts","","ATLAS; GaiaAlerts","ATLAS22scd","ATLAS-STH - ATLAS-03, Gaia - Gaia-photometric","","1","1","","17.413","cyan-ATLAS","2022-06-27 16:41:32.064","ATLAS_Bot1","","2022TNSTR1810....1T","",""
"111364","AT 2022nuw","13:17:48.445","-41:18:19.56","","","","","ATLAS","ATLAS","","ATLAS","ATLAS22saw","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","19.641","cyan-ATLAS","2022-06-26 19:14:13.056","ATLAS_Bot1","","2022TNSTR1810....1T","",""
"111363","AT 2022nuv","07:13:19.090","-72:42:12.92","","","","","ATLAS","ATLAS","","ATLAS","ATLAS22sav","ATLAS-STH - ATLAS-03","","1","1","","19.352","cyan-ATLAS","2022-06-26 17:12:44.352","ATLAS_Bot1","","2022TNSTR1810....1T","",""
"111362","AT 2022nuu","09:41:23.236","-39:09:57.69","","","","","ATLAS","ATLAS","","ATLAS","ATLAS22rzu","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","18.931","cyan-ATLAS","2022-06-26 17:44:41.568","ATLAS_Bot1","","2022TNSTR1810....1T","",""
"111361","AT 2022nut","02:10:44.965","-68:35:22.42","","","","","ATLAS","ATLAS","","ATLAS","ATLAS22rzc","ATLAS-STH - ATLAS-03","","1","1","","19.194","cyan-ATLAS","2022-06-27 04:05:19.968","ATLAS_Bot1","","2022TNSTR1798....1T","",""
"111357","AT 2022nup","15:49:00.640","+55:11:41.06","","","","","ATLAS, GaiaAlerts","ATLAS, GaiaAlerts","","ATLAS; GaiaAlerts","ATLAS22ryw","ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric","","1","1","","19.048","orange-ATLAS","2022-06-27 08:10:13.152","ATLAS_Bot1","","2022TNSTR1798....1T","",""
"111356","AT 2022nuo","17:01:08.502","+48:52:57.41","","","SDSS J170108.75+485258.2","","ALeRCE","ZTF","","ALeRCE","ZTF22aapbaow","P48 - ZTF-Cam","","1","1","","20.3429","g-ZTF","2022-06-22 07:21:02.998","ALeRCE","","2022TNSTR1796....1M","",""
"111355","AT 2022nun","19:09:51.240","+34:53:09.90","","","WISEA J190951.22+345309.9","","ALeRCE","ZTF","","ALeRCE","ZTF22aapiguo","P48 - ZTF-Cam","","1","1","","20.6315","g-ZTF","2022-06-22 07:42:30.997","ALeRCE","","2022TNSTR1796....1M","",""
"111354","AT 2022num","20:17:53.871","-16:25:50.10","","","WISEA J201753.82-162550.7","","ALeRCE, Pan-STARRS","ZTF, Pan-STARRS","","ALeRCE; Pan-STARRS","ZTF22aapinrz","P48 - ZTF-Cam, PS2 - GPC2","","1","1","","20.1743","r-ZTF","2022-06-22 09:59:14.004","ALeRCE","","2022TNSTR1796....1M","",""
"111353","AT 2022nul","19:25:44.729","+47:25:31.95","","","WISEA J192545.03+472531.5","","ALeRCE","ZTF","","ALeRCE","ZTF22aapjbpb","P48 - ZTF-Cam","","1","1","","20.4486","r-ZTF","2022-06-25 08:14:57.002","ALeRCE","","2022TNSTR1796....1M","",""
"111352","AT 2022nuk","13:17:24.541","+17:59:52.45","","","SDSS J131724.66+175954.0","","ALeRCE, YSE","ZTF, Pan-STARRS","","ALeRCE; Pan-STARRS; YSE","ZTF22aapqqys","P48 - ZTF-Cam, PS2 - GPC2","","1","1","","19.444","g-ZTF","2022-06-28 05:14:37.000","ALeRCE","","2022TNSTR1796....1M","",""
"111351","AT 2022nuj","12:54:55.594","+18:22:12.13","","","SDSS J125455.52+182212.5","","ALeRCE","ZTF","","ALeRCE","ZTF22aapuvuc","P48 - ZTF-Cam","","1","1","","20.4863","g-ZTF","2022-06-23 05:40:17.996","ALeRCE","","2022TNSTR1796....1M","",""
"111350","AT 2022nui","15:26:27.287","+28:38:41.83","","","","","ALeRCE","ZTF","","ALeRCE","ZTF22aapvgvc","P48 - ZTF-Cam","","1","1","","20.9448","g-ZTF","2022-06-23 06:44:02.000","ALeRCE","","2022TNSTR1796....1M","",""
"111349","AT 2022nuh","23:40:20.991","+19:40:36.61","","","SDSS J234020.91+194036.5","","ALeRCE","ZTF","","ALeRCE","ZTF22aaqaonu","P48 - ZTF-Cam","","1","1","","17.8571","r-ZTF","2022-06-28 09:56:19.000","ALeRCE","","2022TNSTR1796....1M","",""
"111348","AT 2022nug","23:29:26.854","+21:44:46.79","","","SDSS J232926.83+214446.5","","ALeRCE","ZTF","","ALeRCE","ZTF22aaqasyb","P48 - ZTF-Cam","","1","1","","19.5625","r-ZTF","2022-06-28 09:56:19.000","ALeRCE","","2022TNSTR1796....1M","",""
"111347","AT 2022nuf","14:34:03.690","+10:54:21.16","","","","","ANTARES","ZTF","","ANTARES","ZTF22aaoztzy","P48 - ZTF-Cam","","1","1","","19.7793","r-ZTF","2022-06-28 06:06:28.800","ANTARES_bot","","2022TNSTR1797....1A","",""
"111346","AT 2022nue","15:05:32.089","+03:04:22.59","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22ftj","PS2 - GPC2","","1","1","","20.95","w-P1","2022-06-28 06:52:25.824","PS2_Bot1","","2022TNSTR1802....1C","",""
"111345","AT 2022nud","15:37:52.984","+06:18:54.02","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22fti","PS2 - GPC2","","1","1","","20.66","w-P1","2022-06-28 07:00:36.576","PS2_Bot1","","2022TNSTR1802....1C","",""
"111344","AT 2022nuc","15:21:29.766","+07:08:50.87","","","","","Pan-STARRS, ALeRCE","Pan-STARRS, ZTF","","ALeRCE; Pan-STARRS","PS22fth","P48 - ZTF-Cam, PS2 - GPC2","","1","1","","20.59","w-P1","2022-06-28 06:55:09.984","PS2_Bot1","","2022TNSTR1802....1C","",""
"111343","AT 2022nub","15:08:14.984","+08:27:41.79","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22ftg","PS2 - GPC2","","1","1","","20.22","w-P1","2022-06-28 06:54:16.416","PS2_Bot1","","2022TNSTR1802....1C","",""
"111342","AT 2022nua","18:08:51.090","-73:27:29.20","","","","","ATLAS, GaiaAlerts","ATLAS, GaiaAlerts","","ATLAS; GaiaAlerts","ATLAS22rwx","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, Gaia - Gaia-photometric","","1","1","","18.53","cyan-ATLAS","2022-06-26 23:10:45.984","ATLAS_Bot1","","2022TNSTR1798....1T","",""
"111340","AT 2022nty","00:09:53.597","+18:18:21.62","","","","","YSE","Pan-STARRS","","Pan-STARRS; YSE","PS22ftd","PS2 - GPC2","","1","1","","20.62","i-P1","2022-06-27 13:57:25.056","YSE_Bot1","","2022TNSTR1803....1J","",""
"111339","AT 2022ntx","20:41:05.439","+08:08:30.09","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22ftb","PS2 - GPC2","","1","1","","20.52","w-P1","2022-06-27 11:11:43.008","PS2_Bot1","","2022TNSTR1802....1C","",""
"111338","AT 2022ntw","15:36:30.710","+06:11:28.20","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22fta","PS2 - GPC2","","1","1","","20.9","w-P1","2022-06-24 07:42:30.816","PS2_Bot1","","2022TNSTR1802....1C","",""
"111336","AT 2022ntv","20:58:17.277","+06:18:43.18","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22fsy","PS2 - GPC2","","1","1","","21.19","w-P1","2022-06-27 11:17:13.056","PS2_Bot1","","2022TNSTR1802....1C","",""
"111335","AT 2022ntu","20:25:24.531","-05:51:31.44","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22fsx","PS2 - GPC2","","1","1","","21.19","w-P1","2022-06-24 11:59:47.904","PS2_Bot1","","2022TNSTR1802....1C","",""
"111334","AT 2022ntt","22:01:20.595","-09:48:35.76","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22fsw","PS2 - GPC2","","1","1","","21.17","w-P1","2022-06-24 13:28:03.360","PS2_Bot1","","2022TNSTR1802....1C","",""
"111333","AT 2022nts","21:57:54.144","-09:16:52.90","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22fsv","PS2 - GPC2","","1","1","","20.68","w-P1","2022-06-24 13:27:08.928","PS2_Bot1","","2022TNSTR1802....1C","",""
"111332","AT 2022ntr","17:31:50.869","+15:25:58.80","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22fsu","PS2 - GPC2","","1","1","","20.74","w-P1","2022-06-26 07:14:00.960","PS2_Bot1","","2022TNSTR1802....1C","",""
"111331","AT 2022ntq","16:25:22.560","+27:26:23.12","","","","","Pan-STARRS, YSE","Pan-STARRS","","Pan-STARRS; YSE","PS22fst","PS2 - GPC2","","1","1","","20.27","w-P1","2022-06-24 09:38:07.872","PS2_Bot1","","2022TNSTR1802....1C","",""
"111330","AT 2022ntp","16:24:26.220","+26:20:11.32","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22fss","PS2 - GPC2","","1","1","","21.17","w-P1","2022-06-24 09:38:07.872","PS2_Bot1","","2022TNSTR1802....1C","",""
"111329","AT 2022nto","19:20:24.368","-24:40:26.55","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22fsr","PS2 - GPC2","","1","1","","21.01","w-P1","2022-06-24 10:57:10.368","PS2_Bot1","","2022TNSTR1802....1C","",""
"111328","AT 2022ntn","20:57:29.738","-00:14:28.97","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22fsq","PS2 - GPC2","","1","1","","21.69","w-P1","2022-06-06 12:53:34.944","PS2_Bot1","","2022TNSTR1802....1C","",""
"111327","AT 2022ntm","20:21:40.444","-06:32:57.98","","","","","Pan-STARRS, ATLAS","Pan-STARRS, ATLAS","","ATLAS; Pan-STARRS","PS22fsp","ATLAS-MLO - ATLAS-01, ATLAS-STH - ATLAS-03, PS2 - GPC2","","1","1","","19.13","w-P1","2022-06-24 11:58:54.336","PS2_Bot1","","2022TNSTR1802....1C","",""
"111326","AT 2022ntl","20:56:26.064","+00:25:24.72","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22fso","PS2 - GPC2","","1","1","","20.96","w-P1","2022-06-24 12:11:43.296","PS2_Bot1","","2022TNSTR1802....1C","",""
"111325","AT 2022ntk","19:56:54.165","-25:12:08.24","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22fsn","PS2 - GPC2","","1","1","","20.88","w-P1","2022-06-24 11:02:43.872","PS2_Bot1","","2022TNSTR1802....1C","",""
"111324","AT 2022ntj","15:42:49.519","+06:38:36.71","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22fsm","PS2 - GPC2","","1","1","","21.34","w-P1","2022-06-24 07:42:30.816","PS2_Bot1","","2022TNSTR1802....1C","",""
"111323","AT 2022nti","15:36:33.168","+04:02:42.68","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22fsl","PS2 - GPC2","","1","1","","21.33","w-P1","2022-06-24 07:40:41.088","PS2_Bot1","","2022TNSTR1802....1C","",""
"111322","AT 2022nth","16:03:30.421","+00:09:51.43","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22fsk","PS2 - GPC2","","1","1","","22.18","w-P1","2022-06-05 09:28:37.632","PS2_Bot1","","2022TNSTR1802....1C","",""
"111321","AT 2022ntg","15:20:08.679","-04:50:27.15","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22fsj","PS2 - GPC2","","1","1","","20.05","w-P1","2022-06-23 07:37:58.656","PS2_Bot1","","2022TNSTR1802....1C","",""
"111320","AT 2022ntf","17:21:38.762","+54:27:58.06","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22fsi","PS2 - GPC2","","1","1","","21.64","w-P1","2022-06-23 09:39:29.952","PS2_Bot1","","2022TNSTR1802....1C","",""
"111319","AT 2022nte","17:45:57.739","+44:15:49.80","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22fsh","PS2 - GPC2","","1","1","","21.24","i-P1","2022-06-11 11:16:54.048","PS2_Bot1","","2022TNSTR1802....1C","",""
"111318","AT 2022ntd","21:04:03.810","-23:38:35.72","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22fsg","PS2 - GPC2","","1","1","","20.72","w-P1","2022-06-21 11:14:13.344","PS2_Bot1","","2022TNSTR1802....1C","",""
"111317","AT 2022ntc","21:46:07.971","-05:01:52.21","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22fsf","PS2 - GPC2","","1","1","","20.67","w-P1","2022-06-21 13:05:37.248","PS2_Bot1","","2022TNSTR1802....1C","",""
"111316","AT 2022ntb","20:12:20.143","-11:58:02.09","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22fse","PS2 - GPC2","","1","1","","20.58","w-P1","2022-06-27 12:25:12.000","PS2_Bot1","","2022TNSTR1802....1C","",""
"111315","AT 2022nta","16:56:32.824","-09:29:47.03","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22fsd","PS2 - GPC2","","1","1","","21.15","w-P1","2022-06-20 08:33:02.592","PS2_Bot1","","2022TNSTR1802....1C","",""
"111314","AT 2022nsz","20:57:58.490","-14:29:06.95","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22fsc","PS2 - GPC2","","1","1","","20.91","w-P1","2022-06-20 12:52:45.696","PS2_Bot1","","2022TNSTR1802....1C","",""
"111313","AT 2022nsy","16:19:19.255","-07:26:44.98","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22fsb","PS2 - GPC2","","1","1","","21.28","w-P1","2022-06-20 08:22:55.200","PS2_Bot1","","2022TNSTR1802....1C","",""
"111312","AT 2022nsx","16:44:30.677","+08:29:31.85","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22fsa","PS2 - GPC2","","1","1","","20.94","w-P1","2022-06-20 10:55:44.832","PS2_Bot1","","2022TNSTR1802....1C","",""
"111311","AT 2022nsw","15:55:53.830","-14:54:53.89","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22frz","PS2 - GPC2","","1","1","","21.64","w-P1","2022-06-21 07:16:07.104","PS2_Bot1","","2022TNSTR1802....1C","",""
"111310","AT 2022nsv","14:50:09.244","+15:17:28.88","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22fry","PS2 - GPC2","","1","1","","20.39","w-P1","2022-06-21 08:43:14.304","PS2_Bot1","","2022TNSTR1802....1C","",""
"111309","AT 2022nsu","16:33:14.547","+10:18:45.79","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22frx","PS2 - GPC2","","1","1","","20.78","w-P1","2022-06-20 10:47:26.304","PS2_Bot1","","2022TNSTR1802....1C","",""
"111308","AT 2022nst","20:15:49.973","-12:59:25.74","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22frw","PS2 - GPC2","","1","1","","20.93","w-P1","2022-06-11 12:46:48.864","PS2_Bot1","","2022TNSTR1802....1C","",""
"111307","AT 2022nss","16:47:09.238","-16:35:54.02","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22frv","PS2 - GPC2","","1","1","","20.59","w-P1","2022-06-20 08:35:50.208","PS2_Bot1","","2022TNSTR1802....1C","",""
"111306","AT 2022nsr","16:29:41.986","+11:53:13.77","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22fru","PS2 - GPC2","","1","1","","20.93","w-P1","2022-06-20 10:48:20.736","PS2_Bot1","","2022TNSTR1802....1C","",""
"111304","AT 2022nsp","20:16:30.688","-12:11:06.13","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22frq","PS2 - GPC2","","1","1","","20.58","w-P1","2022-06-27 12:25:12.000","PS2_Bot1","","2022TNSTR1802....1C","",""
"111303","AT 2022nso","20:57:21.587","+01:54:31.09","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22frp","PS2 - GPC2","","1","1","","21.26","w-P1","2022-06-27 11:14:28.032","PS2_Bot1","","2022TNSTR1802....1C","",""
"111302","AT 2022nsn","20:14:04.841","+01:58:30.47","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22fro","PS2 - GPC2","","1","1","","20.97","w-P1","2022-06-27 11:03:27.936","PS2_Bot1","","2022TNSTR1802....1C","",""
"111300","AT 2022nsl","14:17:37.320","-58:38:42.04","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia22crr","Gaia - Gaia-photometric","","1","1","","18.64","G-Gaia","2022-06-26 17:19:40.800","Gaia_Bot1","","2022TNSTR1799....1H","",""
"111299","AT 2022nsk","01:33:50.650","+50:35:39.62","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia22crq","Gaia - Gaia-photometric","","1","1","","17.89","G-Gaia","2022-06-26 16:07:40.800","Gaia_Bot1","","2022TNSTR1799....1H","",""
