"111298","AT 2022nsj","11:19:40.700","+14:36:57.53","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia22cro","Gaia - Gaia-photometric","","1","1","","18.83","G-Gaia","2022-06-26 12:34:33.600","Gaia_Bot1","","2022TNSTR1799....1H","",""
"111297","AT 2022nsi","14:31:35.920","-59:57:27.90","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia22crn","Gaia - Gaia-photometric","","1","1","","17.21","G-Gaia","2022-06-26 17:18:14.400","Gaia_Bot1","","2022TNSTR1799....1H","",""
"111296","AT 2022nsh","02:17:08.442","+42:36:06.44","","","","","ANTARES","ZTF","","ANTARES","ZTF22aaoonxc","P48 - ZTF-Cam","","1","1","","19.7482","g-ZTF","2022-06-27 11:15:58.752","ANTARES_bot","","2022TNSTR1797....1A","",""
"111295","AT 2022nsg","02:59:39.940","+28:29:16.87","","","","","ANTARES, GaiaAlerts, ATLAS, Pan-STARRS","ZTF, GaiaAlerts, ATLAS, Pan-STARRS","","ANTARES; ATLAS; GaiaAlerts; Pan-STARRS","ZTF22aapfhmh","ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","","1","1","","18.9434","g-ZTF","2022-06-27 11:30:20.160","ANTARES_bot","","2022TNSTR1797....1A","",""
"111294","AT 2022nsf","23:28:50.605","+08:42:40.73","","","","","ANTARES","ZTF","","ANTARES","ZTF22aaoyxjh","P48 - ZTF-Cam","","1","1","","20.0299","g-ZTF","2022-06-27 10:25:08.832","ANTARES_bot","","2022TNSTR1797....1A","",""
"111293","AT 2022nse","02:17:41.122","+40:19:47.75","","","","","ANTARES","ZTF","","ANTARES","ZTF22aapkjio","P48 - ZTF-Cam","","1","1","","19.681","g-ZTF","2022-06-27 11:15:58.752","ANTARES_bot","","2022TNSTR1797....1A","",""
"111291","AT 2022nsd","11:38:44.067","+21:21:55.64","","","","","YSE","Pan-STARRS","","Pan-STARRS; YSE","PS22frl","PS2 - GPC2","","1","1","","20.66","i-P1","2022-06-20 06:38:00.960","YSE_Bot1","","2022TNSTR1803....1J","",""
"111290","AT 2022nsc","23:56:26.586","+21:33:46.17","","","","","YSE","Pan-STARRS","","Pan-STARRS; YSE","PS22frk","PS2 - GPC2","","1","1","","19.18","r-P1","2022-06-07 14:27:37.728","YSE_Bot1","","2022TNSTR1803....1J","",""
"111289","AT 2022nsb","13:35:45.803","-42:12:17.55","","","","","ATLAS","ATLAS","","ATLAS","ATLAS22rwp","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","19.4","cyan-ATLAS","2022-06-26 19:14:13.056","ATLAS_Bot1","","2022TNSTR1787....1T","",""
"111288","AT 2022nsa","17:31:13.433","+11:13:01.92","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22frj","PS2 - GPC2","","1","1","","21.08","w-P1","2022-06-08 09:22:01.920","PS2_Bot1","","2022TNSTR1791....1C","",""
"111287","AT 2022nrz","16:18:12.337","-03:38:12.85","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22fri","PS2 - GPC2","","1","1","","21.43","w-P1","2022-06-26 08:20:11.904","PS2_Bot1","","2022TNSTR1791....1C","",""
"111286","AT 2022nry","22:20:49.789","+07:00:15.77","","","","","YSE","Pan-STARRS","","Pan-STARRS; YSE","PS22frh","PS2 - GPC2","","1","1","","20.72","r-P1","2022-06-27 14:09:04.032","YSE_Bot1","","2022TNSTR1792....1J","",""
"111285","AT 2022nrx","14:40:10.338","+21:48:48.47","","","SDSS J144010.45+214847.3","","ALeRCE","ZTF","","ALeRCE","ZTF22aaplmdl","P48 - ZTF-Cam","","1","1","","20.4141","r-ZTF","2022-06-23 05:27:06.002","ALeRCE","","2022TNSTR1786....1F","",""
"111284","AT 2022nrw","21:18:16.583","+14:36:41.84","","","","","ALeRCE, Pan-STARRS","ZTF, Pan-STARRS","","ALeRCE; Pan-STARRS","ZTF22aappymg","P48 - ZTF-Cam, PS2 - GPC2","","1","1","","20.4989","g-ZTF","2022-06-23 10:12:12.001","ALeRCE","","2022TNSTR1786....1F","",""
"111283","AT 2022nrv","20:26:00.218","-06:48:08.03","","","","","ALeRCE","ZTF","","ALeRCE","ZTF22aappztc","P48 - ZTF-Cam","","1","1","","20.5368","r-ZTF","2022-06-26 09:28:14.002","ALeRCE","","2022TNSTR1786....1F","",""
"111282","AT 2022nru","22:12:12.664","-10:23:23.75","","","WISEA J221212.84-102325.6","","ALeRCE, Pan-STARRS","ZTF, Pan-STARRS","","ALeRCE; Pan-STARRS","ZTF22aapqefn","P48 - ZTF-Cam, PS2 - GPC2","","1","1","","20.2724","r-ZTF","2022-06-26 09:21:26.997","ALeRCE","","2022TNSTR1786....1F","",""
"111281","AT 2022nrt","02:39:55.778","+25:38:29.88","","","WISEA J023955.81+253830.4","","ALeRCE","ZTF","","ALeRCE","ZTF22aapqizs","P48 - ZTF-Cam","","1","1","","20.1051","r-ZTF","2022-06-25 11:04:53.999","ALeRCE","","2022TNSTR1786....1F","",""
"111280","AT 2022nrs","16:17:16.657","+65:27:37.90","","","WISEA J161716.70+652737.9","","ALeRCE","ZTF","","ALeRCE","ZTF22aaprjsu","P48 - ZTF-Cam","","1","1","","20.0047","g-ZTF","2022-06-27 07:18:11.002","ALeRCE","","2022TNSTR1786....1F","",""
"111279","AT 2022nrr","16:47:39.610","+36:16:19.99","","","SDSS J164739.52+361618.8","","ALeRCE","ZTF","","ALeRCE","ZTF22aaprose","P48 - ZTF-Cam","","1","1","","20.8714","g-ZTF","2022-06-22 07:14:47.996","ALeRCE","","2022TNSTR1786....1F","",""
"111278","AT 2022nrq","16:15:11.321","+78:20:44.60","","","SDSS J161511.35+782043.8","","ALeRCE","ZTF","","ALeRCE","ZTF22aaprsqg","P48 - ZTF-Cam","","1","1","","20.6626","g-ZTF","2022-06-25 06:30:33.002","ALeRCE","","2022TNSTR1786....1F","",""
"111277","AT 2022nrp","19:09:16.299","+29:55:53.37","","","WISEA J190917.04+295554.6","","ALeRCE","ZTF","","ALeRCE","ZTF22aaprzcy","P48 - ZTF-Cam","","1","1","","20.707","g-ZTF","2022-06-22 07:42:30.997","ALeRCE","","2022TNSTR1786....1F","",""
"111276","AT 2022nro","20:57:22.051","+28:54:12.37","","","WISEA J205721.92+285416.6","","ALeRCE","ZTF","","ALeRCE","ZTF22aapssgc","P48 - ZTF-Cam","","1","1","","20.6665","g-ZTF","2022-06-27 08:40:08.000","ALeRCE","","2022TNSTR1786....1F","",""
"111275","AT 2022nrn","23:32:27.409","+23:28:04.98","","","SDSS J233227.62+232800.8","","ALeRCE","ZTF","","ALeRCE","ZTF22aaptaks","P48 - ZTF-Cam","","1","1","","20.6467","g-ZTF","2022-06-21 10:50:33.999","ALeRCE","","2022TNSTR1786....1F","",""
"111274","AT 2022nrm","00:07:32.008","+15:42:00.65","","","SDSS J000731.83+154201.9","","ALeRCE","ZTF","","ALeRCE","ZTF22aaptrwc","P48 - ZTF-Cam","","1","1","","20.4889","g-ZTF","2022-06-25 10:23:16.002","ALeRCE","","2022TNSTR1786....1F","",""
"111273","AT 2022nrl","23:27:34.942","+02:26:47.96","","","2MASS J23273474+0226496","","ALeRCE, Pan-STARRS","ZTF, Pan-STARRS","","ALeRCE; Pan-STARRS","ZTF22aapttph","P48 - ZTF-Cam, PS2 - GPC2","","1","1","","20.5593","g-ZTF","2022-06-25 10:10:12.000","ALeRCE","","2022TNSTR1786....1F","",""
"111271","AT 2022nrj","00:40:15.040","+43:05:48.88","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia22crm","Gaia - Gaia-photometric","","1","1","","17.16","G-Gaia","2022-06-25 08:32:38.400","Gaia_Bot1","","2022TNSTR1788....1H","",""
"111270","AT 2022nri","13:37:17.810","-56:53:41.82","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia22crl","Gaia - Gaia-photometric","","1","1","","18.35","G-Gaia","2022-06-25 11:24:00.000","Gaia_Bot1","","2022TNSTR1788....1H","",""
"111269","AT 2022nrh","15:39:35.660","-67:41:56.26","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia22crk","Gaia - Gaia-photometric","","1","1","","18.58","G-Gaia","2022-06-25 17:06:43.200","Gaia_Bot1","","2022TNSTR1788....1H","",""
"111268","AT 2022nrg","21:46:51.770","-50:43:28.34","","","","","GaiaAlerts, ATLAS","GaiaAlerts, ATLAS","","ATLAS; GaiaAlerts","Gaia22crh","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, Gaia - Gaia-photometric","","1","1","","18.38","G-Gaia","2022-06-26 00:08:38.400","Gaia_Bot1","","2022TNSTR1788....1H","",""
"111267","AT 2022nrf","14:51:53.080","-65:44:22.42","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia22crd","Gaia - Gaia-photometric","","1","1","","17.51","G-Gaia","2022-06-25 05:11:02.400","Gaia_Bot1","","2022TNSTR1788....1H","",""
"111266","AT 2022nre","00:19:09.230","+35:10:56.53","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia22crb","Gaia - Gaia-photometric","","1","1","","18.55","G-Gaia","2022-06-25 08:42:43.200","Gaia_Bot1","","2022TNSTR1788....1H","",""
"111265","AT 2022nrd","22:31:32.620","-36:08:24.86","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia22cra","Gaia - Gaia-photometric","","1","1","","18.68","G-Gaia","2022-06-26 04:04:48.000","Gaia_Bot1","","2022TNSTR1788....1H","",""
"111263","AT 2022nrc","21:42:46.100","-45:55:07.50","","","","","MASTER","MASTER","","MASTER","MASTER OT J214246.10-455507.5","Other - Other","","1","1","","19.2","Clear-","2022-06-26 01:29:44.448","MASTER","","2022TNSTR1789....1K","",""
"111262","AT 2022nrb","17:19:26.214","+39:52:46.30","","","","","ANTARES","ZTF","","ANTARES","ZTF22aanptcx","P48 - ZTF-Cam","","1","1","","20.0295","r-ZTF","2022-06-26 08:39:38.304","ANTARES_bot","","2022TNSTR1775....1A","",""
"111261","AT 2022nra","13:09:42.753","+00:54:55.39","","","","","ANTARES","ZTF","","ANTARES","ZTF22aaogoyb","P48 - ZTF-Cam","","1","1","","19.2866","g-ZTF","2022-06-26 06:24:10.656","ANTARES_bot","","2022TNSTR1775....1A","",""
"111260","AT 2022nqz","14:29:23.145","+44:27:00.05","","","","","ANTARES","ZTF","","ANTARES","ZTF22aaohigp","P48 - ZTF-Cam","","1","1","","20.2539","g-ZTF","2022-06-26 05:59:54.816","ANTARES_bot","","2022TNSTR1775....1A","",""
"111259","AT 2022nqy","14:31:40.385","-27:49:25.88","","","","","ANTARES","ZTF","","ANTARES","ZTF22aaogycc","P48 - ZTF-Cam","","1","1","","19.9118","r-ZTF","2022-06-26 04:32:45.888","ANTARES_bot","","2022TNSTR1775....1A","",""
"111258","AT 2022nqx","20:55:02.786","-14:13:05.01","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22fqy","PS2 - GPC2","","1","1","","21.23","w-P1","2022-06-11 13:13:35.904","PS2_Bot1","","2022TNSTR1778....1C","",""
"111257","AT 2022nqw","16:37:56.184","-02:49:09.86","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22fqx","PS2 - GPC2","","1","1","","21.57","w-P1","2022-06-19 08:48:08.928","PS2_Bot1","","2022TNSTR1778....1C","",""
"111256","AT 2022nqv","16:31:35.092","-05:30:09.58","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22fqw","PS2 - GPC2","","1","1","","21.43","w-P1","2022-06-26 08:26:41.568","PS2_Bot1","","2022TNSTR1778....1C","",""
"111255","AT 2022nqu","17:59:21.335","+15:38:41.01","","","","","Pan-STARRS, Fink","Pan-STARRS, ZTF","","Fink; Pan-STARRS","PS22fqv","P48 - ZTF-Cam, PS2 - GPC2","","1","1","","20.3","w-P1","2022-06-26 07:15:49.824","PS2_Bot1","","2022TNSTR1778....1C","",""
"111254","AT 2022nqt","16:53:48.412","+14:02:18.61","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22fqu","PS2 - GPC2","","1","1","","21.54","w-P1","2022-06-20 10:52:56.352","PS2_Bot1","","2022TNSTR1778....1C","",""
"111253","AT 2022nqs","16:20:52.625","-07:40:51.33","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22fqt","PS2 - GPC2","","1","1","","21.82","w-P1","2022-06-26 08:24:51.840","PS2_Bot1","","2022TNSTR1778....1C","",""
"111252","AT 2022nqr","17:52:00.477","+15:18:27.19","","","WISEA J175200.61+151827.4","","ALeRCE","ZTF","","ALeRCE","ZTF18aawsmrt","P48 - ZTF-Cam","","1","1","","19.4345","g-ZTF","2022-06-26 07:06:33.002","ALeRCE","","2022TNSTR1774....1F","",""
"111251","AT 2022nqq","18:24:01.076","+16:35:16.98","","","","","ALeRCE","ZTF","","ALeRCE","ZTF18adlgqmp","P48 - ZTF-Cam","","1","1","","19.6319","g-ZTF","2022-06-26 07:27:26.001","ALeRCE","","2022TNSTR1774....1F","",""
"111250","AT 2022nqp","13:56:47.508","+35:37:27.10","","","SDSS J135647.43+353726.9","","ALeRCE","ZTF","","ALeRCE","ZTF22aaoslbt","P48 - ZTF-Cam","","1","1","","20.523","g-ZTF","2022-06-21 05:23:27.997","ALeRCE","","2022TNSTR1774....1F","",""
"111248","AT 2022nqn","15:58:22.850","+21:31:19.09","","","SDSS J155822.85+213119.2","","ALeRCE","ZTF","","ALeRCE","ZTF22aapaqug","P48 - ZTF-Cam","","1","1","","20.3675","g-ZTF","2022-06-23 06:42:00.003","ALeRCE","","2022TNSTR1774....1F","",""
"111247","AT 2022nqm","13:38:30.837","+30:16:12.40","","","SDSS J133830.56+301617.3","0.05030988","ALeRCE, Pan-STARRS","ZTF, Pan-STARRS","","ALeRCE; Pan-STARRS","ZTF22aapfrho","P48 - ZTF-Cam, PS2 - GPC2","","1","1","","20.3833","r-ZTF","2022-06-23 04:53:09.001","ALeRCE","","2022TNSTR1774....1F","",""
"111246","AT 2022nql","13:54:02.150","+27:52:49.28","","","SDSS J135402.14+275248.0","","ALeRCE","ZTF","","ALeRCE","ZTF22aapftxr","P48 - ZTF-Cam","","1","1","","20.6828","g-ZTF","2022-06-21 05:26:54.001","ALeRCE","","2022TNSTR1774....1F","",""
"111245","AT 2022nqk","16:10:04.643","+15:19:55.42","","","SDSS J161004.65+151953.8","","ALeRCE","ZTF","","ALeRCE","ZTF22aapfxoy","P48 - ZTF-Cam","","1","1","","20.6966","g-ZTF","2022-06-21 08:03:00.003","ALeRCE","","2022TNSTR1774....1F","",""
"111243","AT 2022nqi","13:44:27.807","+05:02:11.86","","","SDSS J134427.72+050210.0","","ALeRCE","ZTF","","ALeRCE","ZTF22aapkyyk","P48 - ZTF-Cam","","1","1","","20.421","g-ZTF","2022-06-23 05:58:44.003","ALeRCE","","2022TNSTR1774....1F","",""
"111242","AT 2022nqh","15:19:26.082","-07:47:40.53","","","WISEA J151925.94-074744.1","","ALeRCE, Pan-STARRS","ZTF, Pan-STARRS","","ALeRCE; Pan-STARRS","ZTF22aapljgh","P48 - ZTF-Cam, PS2 - GPC2","","1","1","","20.5968","r-ZTF","2022-06-23 05:02:11.999","ALeRCE","","2022TNSTR1774....1F","",""
"111241","AT 2022nqg","13:08:21.454","+05:14:56.30","","","SDSS J130821.17+051455.3","0.1067986","ALeRCE, ATLAS, YSE","ZTF, ATLAS, Pan-STARRS","","ALeRCE; ATLAS; Pan-STARRS; YSE","ZTF22aaplxkp","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS2 - GPC2","","1","1","","19.7649","g-ZTF","2022-06-26 06:24:11.002","ALeRCE","","2022TNSTR1774....1F","",""
"111240","AT 2022nqf","15:34:02.174","+29:50:31.63","","","SDSS J153401.96+295029.8","","ALeRCE","ZTF","","ALeRCE","ZTF22aapmasc","P48 - ZTF-Cam","","1","1","","20.2744","g-ZTF","2022-06-26 06:37:30.003","ALeRCE","","2022TNSTR1774....1F","",""
"111239","AT 2022nqe","15:23:47.359","+56:25:17.84","","","SDSS J152347.41+562517.3","","ALeRCE","ZTF","","ALeRCE","ZTF22aapmdrl","P48 - ZTF-Cam","","1","1","","20.7671","r-ZTF","2022-06-21 06:49:40.999","ALeRCE","","2022TNSTR1774....1F","",""
"111238","AT 2022nqd","16:17:36.671","+37:02:20.73","","","SDSS J161736.78+370221.5","","ALeRCE","ZTF","","ALeRCE","ZTF22aapmdwe","P48 - ZTF-Cam","","1","1","","20.6191","g-ZTF","2022-06-26 06:52:03.999","ALeRCE","","2022TNSTR1774....1F","",""
"111237","AT 2022nqc","18:38:38.206","+47:56:23.07","","","WISEA J183838.66+475623.4","","ALeRCE, Fink, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","","ALeRCE; ATLAS; Fink; Pan-STARRS","ZTF22aapmmlf","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS2 - GPC2","","1","1","","19.5823","g-ZTF","2022-06-26 07:22:29.001","ALeRCE","","2022TNSTR1774....1F","",""
"111236","AT 2022nqb","18:27:00.242","+31:15:05.91","","","WISEA J182700.01+311509.1","","ALeRCE, Fink, Pan-STARRS","ZTF, Pan-STARRS","","ALeRCE; Fink; Pan-STARRS","ZTF22aapmnbq","P48 - ZTF-Cam, PS2 - GPC2","","1","1","","19.9103","g-ZTF","2022-06-26 07:23:11.000","ALeRCE","","2022TNSTR1774....1F","",""
"111235","AT 2022nqa","18:32:02.836","+29:37:58.58","","","","","ALeRCE, Fink, Pan-STARRS","ZTF, Pan-STARRS","","ALeRCE; Fink; Pan-STARRS","ZTF22aapnsrx","P48 - ZTF-Cam, PS2 - GPC2","","1","1","","20.9537","g-ZTF","2022-06-26 07:25:23.002","ALeRCE","","2022TNSTR1774....1F","",""
"111234","AT 2022npz","17:46:54.088","+33:45:53.07","","","WISEA J174654.19+334552.7","","ALeRCE","ZTF","","ALeRCE","ZTF22aapntra","P48 - ZTF-Cam","","1","1","","20.8342","g-ZTF","2022-06-23 07:12:52.004","ALeRCE","","2022TNSTR1774....1F","",""
"111233","AT 2022npy","19:10:26.050","+71:45:27.05","","","WISEA J191026.06+714527.0","","ALeRCE","ZTF","","ALeRCE","ZTF22aapnvds","P48 - ZTF-Cam","","1","1","","20.4326","r-ZTF","2022-06-26 08:45:03.997","ALeRCE","","2022TNSTR1774....1F","",""
"111232","AT 2022npx","21:09:09.616","+12:13:06.43","","","","","ALeRCE, Pan-STARRS","ZTF, Pan-STARRS","","ALeRCE; Pan-STARRS","ZTF22aapojdu","P48 - ZTF-Cam, PS2 - GPC2","","1","1","","20.5209","g-ZTF","2022-06-23 10:12:12.001","ALeRCE","","2022TNSTR1774....1F","",""
"111231","AT 2022npw","21:48:51.373","-13:15:20.66","","","WISEA J214851.42-131522.6","","ALeRCE, ATLAS","ZTF, ATLAS","","ALeRCE; ATLAS","ZTF22aapojjg","ATLAS-HKO - ATLAS-02, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam","","1","1","","19.882","g-ZTF","2022-06-26 10:59:36.004","ALeRCE","","2022TNSTR1774....1F","",""
"111229","AT 2022npu","22:13:18.249","-01:38:56.57","","","WISEA J221317.78-013858.0","","ALeRCE","ZTF","","ALeRCE","ZTF22aapqdvh","P48 - ZTF-Cam","","1","1","","20.2327","g-ZTF","2022-06-26 10:58:56.001","ALeRCE","","2022TNSTR1774....1F","",""
"111228","AT 2022npt","16:48:35.994","-01:04:57.93","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22fqr","PS2 - GPC2","","1","1","","22.28","w-P1","2022-06-26 08:50:40.128","PS2_Bot1","","2022TNSTR1778....1C","",""
"111227","AT 2022nps","16:23:12.957","+14:38:26.88","","","","","Pan-STARRS, YSE","Pan-STARRS","","Pan-STARRS; YSE","PS22fqq","PS2 - GPC2","","1","1","","20.65","w-P1","2022-06-26 09:35:42.720","PS2_Bot1","","2022TNSTR1778....1C","",""
"111226","AT 2022npr","16:53:15.968","+08:44:40.90","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22fqp","PS2 - GPC2","","1","1","","20.74","w-P1","2022-06-26 09:42:06.336","PS2_Bot1","","2022TNSTR1778....1C","",""
"111223","AT 2022npo","13:27:52.691","-10:37:22.67","","","","","ZTF","ZTF","","ZTF","ZTF22aaplbfi","P48 - ZTF-Cam","","1","1","","20.0654","r-ZTF","2022-06-26 04:39:32.832","ZTF_CLU_PUBLIC","","2022TNSTR1780....1D","",""
"111222","AT 2022npn","17:08:57.898","+15:43:23.90","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22fqj","PS2 - GPC2","","1","1","","20.81","w-P1","2022-06-26 07:07:39.936","PS2_Bot1","","2022TNSTR1778....1C","",""
"111221","AT 2022npm","00:49:15.130","+51:47:38.04","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia22cqy","Gaia - Gaia-photometric","","1","1","","17.97","G-Gaia","2022-06-24 10:09:07.200","Gaia_Bot1","","2022TNSTR1777....1H","",""
"111220","AT 2022npl","13:31:47.700","-60:23:16.76","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia22cqx","Gaia - Gaia-photometric","","1","1","","18.96","G-Gaia","2022-06-24 11:19:40.800","Gaia_Bot1","","2022TNSTR1777....1H","",""
"111219","AT 2022npk","04:15:23.100","+71:07:37.42","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia22cqw","Gaia - Gaia-photometric","","1","1","","18.13","G-Gaia","2022-06-24 03:37:26.400","Gaia_Bot1","","2022TNSTR1777....1H","",""
"111218","AT 2022npj","12:50:36.140","-54:40:07.43","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia22cqv","Gaia - Gaia-photometric","","1","1","","16.07","G-Gaia","2022-06-23 23:26:52.800","Gaia_Bot1","","2022TNSTR1777....1H","",""
"111217","AT 2022npi","04:07:31.950","+71:25:09.44","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia22cqt","Gaia - Gaia-photometric","","1","1","","18.54","G-Gaia","2022-06-23 21:37:26.400","Gaia_Bot1","","2022TNSTR1777....1H","",""
"111216","AT 2022nph","15:34:29.150","-69:45:47.74","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia22cqs","Gaia - Gaia-photometric","","1","1","","16.67","G-Gaia","2022-06-24 11:05:16.800","Gaia_Bot1","","2022TNSTR1777....1H","",""
"111215","AT 2022npg","21:45:11.010","-46:02:59.24","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia22cqr","Gaia - Gaia-photometric","","1","1","","18.74","G-Gaia","2022-06-24 10:17:45.600","Gaia_Bot1","","2022TNSTR1777....1H","",""
"111214","AT 2022npf","22:30:37.740","-21:12:54.25","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia22cqq","Gaia - Gaia-photometric","","1","1","","18.08","G-Gaia","2022-06-23 23:35:31.200","Gaia_Bot1","","2022TNSTR1777....1H","",""
"111213","AT 2022npe","20:57:37.500","-57:00:26.57","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia22cqp","Gaia - Gaia-photometric","","1","1","","17.68","G-Gaia","2022-06-23 18:17:16.800","Gaia_Bot1","","2022TNSTR1777....1H","",""
"111212","AT 2022npd","14:27:13.301","+03:17:25.30","","","","","ATLAS","ATLAS","","ATLAS","ATLAS22rvg","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","","1","1","","19.577","cyan-ATLAS","2022-06-26 08:08:38.112","ATLAS_Bot1","","2022TNSTR1776....1T","",""
"111211","AT 2022npc","20:50:48.108","-00:13:23.30","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22fqh","PS2 - GPC2","","1","1","","20.84","w-P1","2022-06-24 12:12:36.864","PS2_Bot1","","2022TNSTR1778....1C","",""
"111210","AT 2022npb","16:42:53.480","+62:00:36.70","","","MCG+10-24-039","0.027394","XOSS","XOSS","","XOSS","XM75MZ","Other - Other","","1","1","","19.2","Clear-","2022-06-25 19:42:15.264","Zhang","","2022TNSTR1779....1Z","",""
"111209","AT 2022npa","00:42:54.810","+41:15:08.24","","","M31","","XOSS, GaiaAlerts","XOSS, GaiaAlerts","","GaiaAlerts; XOSS","XM74MZ","Gaia - Gaia-photometric, Other - Other","","1","1","","17.9","Clear-","2022-06-25 20:58:43.104","Zhang","","2022TNSTR1779....1Z","",""
"111208","AT 2022noz","20:00:45.852","-42:08:17.40","","","","","ATLAS","ATLAS","","ATLAS","ATLAS22rul","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","19.045","cyan-ATLAS","2022-06-25 02:13:38.784","ATLAS_Bot1","","2022TNSTR1776....1T","",""
"111207","AT 2022noy","19:43:07.764","-66:20:54.17","","","","","ATLAS","ATLAS","","ATLAS","ATLAS22ruk","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","19.77","cyan-ATLAS","2022-06-25 01:50:11.328","ATLAS_Bot1","","2022TNSTR1776....1T","",""
"111206","AT 2022nox","19:32:07.974","-35:28:26.09","","","","","ATLAS","ATLAS","","ATLAS","ATLAS22rui","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","19.387","cyan-ATLAS","2022-06-25 01:56:24.576","ATLAS_Bot1","","2022TNSTR1764....1T","",""
"111205","AT 2022now","21:11:44.018","-40:44:40.76","","","","","ATLAS","ATLAS","","ATLAS","ATLAS22ruh","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","19.382","cyan-ATLAS","2022-06-25 02:51:45.792","ATLAS_Bot1","","2022TNSTR1764....1T","",""
"111204","AT 2022nov","16:26:08.166","+23:34:42.26","","","SDSS J162608.14+233442.3","","ALeRCE","ZTF","","ALeRCE","ZTF22aaoteng","P48 - ZTF-Cam","","1","1","","20.9665","g-ZTF","2022-06-20 06:27:41.999","ALeRCE","","2022TNSTR1762....1F","",""
"111203","AT 2022nou","21:21:02.890","+05:23:18.46","","","SDSS J212102.92+052317.7","","ALeRCE","ZTF","","ALeRCE","ZTF22aaouvwr","P48 - ZTF-Cam","","1","1","","20.5024","g-ZTF","2022-06-20 09:56:01.003","ALeRCE","","2022TNSTR1762....1F","",""
"111202","AT 2022not","23:51:45.012","+25:31:24.45","","","WISEA J235145.12+253111.2","","ALeRCE, YSE","ZTF, Pan-STARRS","","ALeRCE; Pan-STARRS; YSE","ZTF22aaovdpp","P48 - ZTF-Cam, PS2 - GPC2","","1","1","","20.2078","r-ZTF","2022-06-25 10:45:15.002","ALeRCE","","2022TNSTR1762....1F","",""
"111201","AT 2022nos","00:15:40.699","+27:24:44.65","","","","","ALeRCE","ZTF","","ALeRCE","ZTF22aaovdur","P48 - ZTF-Cam","","1","1","","19.7589","g-ZTF","2022-06-25 10:22:34.997","ALeRCE","","2022TNSTR1762....1F","",""
"111200","AT 2022nor","23:32:14.022","+26:38:18.85","","","SDSS J233214.55+263820.5","","ALeRCE, ATLAS","ZTF, ATLAS","","ALeRCE; ATLAS","ZTF22aaovnry","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","","1","1","","20.6225","g-ZTF","2022-06-21 10:50:33.999","ALeRCE","","2022TNSTR1762....1F","",""
